Data;Fechamento;Volume
13-out-16;2.74;56.900
14-out-16;2.78;210.500
17-out-16;2.77;126.900
18-out-16;2.76;195.400
19-out-16;2.75;177.000
20-out-16;2.71;147.400
21-out-16;2.75;65.100
24-out-16;2.73;92.800
25-out-16;2.75;213.100
26-out-16;2.86;398.100
27-out-16;2.89;353.100
28-out-16;2.94;169.200
31-out-16;2.87;224.000
1-nov-16;2.76;155.500
3-nov-16;2.7;203.400
4-nov-16;2.66;103.300
7-nov-16;2.7;124.200
8-nov-16;2.63;104.500
9-nov-16;2.57;187.600
10-nov-16;2.74;359.800
11-nov-16;2.79;286.200
14-nov-16;2.8;99.000
16-nov-16;2.69;159.900
17-nov-16;2.73;61.700
18-nov-16;2.7;113.000
21-nov-16;2.62;142.800
22-nov-16;2.68;92.600
23-nov-16;2.74;126.300
24-nov-16;2.75;57.100
25-nov-16;2.7;51.500
28-nov-16;2.79;250.800
29-nov-16;2.83;274.300
30-nov-16;2.77;138.000
1-dez-16;2.63;311.000
2-dez-16;2.64;144.200
5-dez-16;2.62;96.500
6-dez-16;2.67;106.800
7-dez-16;2.74;78.400
8-dez-16;2.79;192.300
9-dez-16;2.75;68.100
12-dez-16;2.7;65.100
13-dez-16;2.72;109.300
14-dez-16;2.74;88.500
15-dez-16;2.72;147.700
16-dez-16;2.85;197.600
19-dez-16;2.8;49.900
20-dez-16;2.71;81.200
21-dez-16;2.71;166.900
22-dez-16;2.69;300.800
23-dez-16;2.73;48.800
26-dez-16;2.75;29.200
27-dez-16;2.75;57.700
28-dez-16;2.79;48.800
29-dez-16;2.85;230.300
2-jan-17;2.79;80.600
3-jan-17;2.86;77.900
4-jan-17;2.82;237.400
5-jan-17;2.86;295.200
6-jan-17;2.82;125.200
9-jan-17;2.78;113.300
10-jan-17;2.84;198.000
11-jan-17;2.77;85.100
12-jan-17;2.82;84.600
13-jan-17;2.81;88.200
16-jan-17;2.78;59.500
17-jan-17;2.8;72.700
18-jan-17;2.82;121.500
19-jan-17;2.84;143.600
20-jan-17;2.82;228.700
23-jan-17;2.81;99.300
24-jan-17;2.82;173.400
26-jan-17;2.82;571.900
27-jan-17;2.83;139.100
30-jan-17;2.8;153.900
31-jan-17;2.8;193.500
1-fev-17;2.77;457.400
2-fev-17;2.74;254.200
3-fev-17;2.75;172.200
6-fev-17;2.7;439.900
7-fev-17;2.67;164.500
8-fev-17;2.69;104.300
9-fev-17;2.69;84.300
10-fev-17;2.69;95.200
13-fev-17;2.68;168.300
14-fev-17;2.69;357.600
15-fev-17;2.78;334.400
16-fev-17;2.75;240.500
